sensor_id,hour,n,avg_temp_raw,avg_temp_plausible
1,2004-03-01 06:00:00,79,17.32,17.32
1,2004-03-01 07:00:00,79,20.64,20.64
1,2004-03-01 08:00:00,90,21.2,21.2
1,2004-03-01 09:00:00,80,21.82,21.82
1,2004-03-01 10:00:00,96,22.34,22.34
1,2004-03-01 11:00:00,84,23.29,23.29
1,2004-03-01 12:00:00,91,24.72,24.72
1,2004-03-01 13:00:00,94,25.36,25.36
1,2004-03-01 14:00:00,83,25.76,25.76
1,2004-03-01 15:00:00,95,25.14,25.14
1,2004-03-01 16:00:00,67,25.22,25.22
1,2004-03-01 17:00:00,84,25.55,25.55
1,2004-03-01 18:00:00,83,22.01,22.01
1,2004-03-01 19:00:00,81,21.16,21.16
1,2004-03-01 20:00:00,103,20.71,20.71
1,2004-03-01 21:00:00,88,20.34,20.34
1,2004-03-01 22:00:00,83,19.91,19.91
1,2004-03-01 23:00:00,75,19.54,19.54
1,2004-03-02 00:00:00,86,19.1,19.1
1,2004-03-02 01:00:00,79,18.7,18.7
1,2004-03-02 02:00:00,86,18.34,18.34
1,2004-03-02 03:00:00,85,18.07,18.07
1,2004-03-02 04:00:00,83,17.78,17.78
1,2004-03-02 05:00:00,86,17.52,17.52
1,2004-03-02 06:00:00,87,17.4,17.4
1,2004-03-02 07:00:00,85,21.67,21.67
1,2004-03-02 08:00:00,98,23.86,23.86
1,2004-03-02 09:00:00,74,25.23,25.23
1,2004-03-02 10:00:00,74,24.29,24.29
1,2004-03-02 11:00:00,77,23.91,23.91
1,2004-03-02 12:00:00,79,24.34,24.34
1,2004-03-02 13:00:00,82,24.37,24.37
1,2004-03-02 14:00:00,82,24.34,24.34
1,2004-03-02 15:00:00,84,24.01,24.01
1,2004-03-02 16:00:00,76,23.23,23.23
1,2004-03-02 17:00:00,84,21.78,21.78
1,2004-03-02 18:00:00,96,21.54,21.54
1,2004-03-02 19:00:00,85,21.23,21.23
1,2004-03-02 20:00:00,84,20.9,20.9
1,2004-03-02 21:00:00,92,20.65,20.65
1,2004-03-02 22:00:00,78,20.41,20.41
1,2004-03-02 23:00:00,86,20.15,20.15
1,2004-03-03 00:00:00,86,19.95,19.95
1,2004-03-03 01:00:00,89,19.72,19.72
1,2004-03-03 02:00:00,84,19.24,19.24
1,2004-03-03 03:00:00,67,18.91,18.91
1,2004-03-03 04:00:00,88,18.56,18.56
1,2004-03-03 05:00:00,84,18.32,18.32
1,2004-03-03 06:00:00,85,18.3,18.3
1,2004-03-03 07:00:00,68,22.99,22.99
1,2004-03-03 08:00:00,84,25.65,25.65
1,2004-03-03 09:00:00,83,25.62,25.62
1,2004-03-03 10:00:00,80,25.46,25.46
1,2004-03-03 11:00:00,88,24.35,24.35
1,2004-03-03 12:00:00,85,23.39,23.39
1,2004-03-03 13:00:00,57,24.37,24.37
1,2004-03-03 14:00:00,62,24.41,24.41
1,2004-03-03 15:00:00,73,24.22,24.22
1,2004-03-03 16:00:00,73,23.98,23.98
1,2004-03-03 17:00:00,78,24.11,24.11
1,2004-03-03 18:00:00,74,22.96,22.96
1,2004-03-03 19:00:00,82,22.19,22.19
1,2004-03-03 20:00:00,70,21.7,21.7
1,2004-03-03 21:00:00,88,21.4,21.4
1,2004-03-03 22:00:00,64,21.12,21.12
1,2004-03-03 23:00:00,76,20.79,20.79
1,2004-03-04 00:00:00,60,20.35,20.35
1,2004-03-04 01:00:00,75,19.8,19.8
1,2004-03-04 02:00:00,78,19.33,19.33
1,2004-03-04 03:00:00,68,19.0,19.0
1,2004-03-04 04:00:00,64,18.66,18.66
1,2004-03-04 05:00:00,73,18.4,18.4
1,2004-03-04 06:00:00,70,18.26,18.26
1,2004-03-04 07:00:00,75,22.72,22.72
1,2004-03-04 08:00:00,94,24.2,24.2
1,2004-03-04 09:00:00,89,25.8,25.8
1,2004-03-04 10:00:00,75,24.87,24.87
1,2004-03-04 11:00:00,75,25.17,25.17
1,2004-03-04 12:00:00,69,26.28,26.28
1,2004-03-04 13:00:00,71,26.25,26.25
1,2004-03-04 14:00:00,61,25.1,25.1
1,2004-03-04 15:00:00,64,23.66,23.66
1,2004-03-04 16:00:00,65,22.68,22.68
1,2004-03-04 17:00:00,76,21.74,21.74
1,2004-03-04 18:00:00,73,21.54,21.54
1,2004-03-04 19:00:00,78,21.41,21.41
1,2004-03-04 20:00:00,71,21.16,21.16
1,2004-03-04 21:00:00,72,20.93,20.93
1,2004-03-04 22:00:00,74,20.72,20.72
1,2004-03-04 23:00:00,71,20.52,20.52
1,2004-03-05 00:00:00,76,20.34,20.34
1,2004-03-05 01:00:00,75,20.09,20.09
1,2004-03-05 02:00:00,69,19.83,19.83
1,2004-03-05 03:00:00,75,19.58,19.58
1,2004-03-05 04:00:00,74,19.31,19.31
1,2004-03-05 05:00:00,76,19.13,19.13
1,2004-03-05 06:00:00,67,19.07,19.07
1,2004-03-05 07:00:00,76,23.57,23.57
1,2004-03-05 08:00:00,74,25.61,25.61
1,2004-03-05 09:00:00,82,24.14,24.14
1,2004-03-05 10:00:00,63,24.18,24.18
1,2004-03-05 11:00:00,73,23.46,23.46
1,2004-03-05 12:00:00,73,23.04,23.04
1,2004-03-05 13:00:00,79,24.2,24.2
1,2004-03-05 14:00:00,82,24.1,24.1
1,2004-03-05 15:00:00,71,23.52,23.52
1,2004-03-05 16:00:00,73,22.9,22.9
1,2004-03-05 17:00:00,84,22.09,22.09
1,2004-03-05 18:00:00,89,21.77,21.77
1,2004-03-05 19:00:00,85,21.5,21.5
1,2004-03-05 20:00:00,92,21.22,21.22
1,2004-03-05 21:00:00,71,20.9,20.9
1,2004-03-05 22:00:00,68,20.75,20.75
1,2004-03-05 23:00:00,77,20.61,20.61
1,2004-03-06 00:00:00,81,20.25,20.25
1,2004-03-06 01:00:00,76,19.93,19.93
1,2004-03-06 02:00:00,86,19.72,19.72
1,2004-03-06 03:00:00,82,19.61,19.61
1,2004-03-06 04:00:00,89,19.49,19.49
1,2004-03-06 05:00:00,98,19.36,19.36
1,2004-03-06 06:00:00,92,19.13,19.13
1,2004-03-06 07:00:00,87,19.24,19.24
1,2004-03-06 08:00:00,86,20.98,20.98
1,2004-03-06 09:00:00,90,22.9,22.9
1,2004-03-06 10:00:00,101,24.86,24.86
1,2004-03-06 11:00:00,76,26.24,26.24
1,2004-03-06 12:00:00,83,27.04,27.04
1,2004-03-06 13:00:00,80,27.17,27.17
1,2004-03-06 14:00:00,95,26.44,26.44
1,2004-03-06 15:00:00,89,25.96,25.96
1,2004-03-06 16:00:00,82,25.18,25.18
1,2004-03-06 17:00:00,73,24.48,24.48
1,2004-03-06 18:00:00,77,23.43,23.43
1,2004-03-06 19:00:00,84,22.79,22.79
1,2004-03-06 20:00:00,80,22.4,22.4
1,2004-03-06 21:00:00,82,22.08,22.08
1,2004-03-06 22:00:00,93,21.8,21.8
1,2004-03-06 23:00:00,87,21.49,21.49
1,2004-03-07 00:00:00,98,21.19,21.19
1,2004-03-07 01:00:00,79,20.93,20.93
1,2004-03-07 02:00:00,93,20.62,20.62
1,2004-03-07 03:00:00,100,20.45,20.45
1,2004-03-07 04:00:00,76,20.23,20.23
1,2004-03-07 05:00:00,80,20.02,20.02
1,2004-03-07 06:00:00,94,19.85,19.85
1,2004-03-07 07:00:00,102,20.07,20.07
1,2004-03-07 08:00:00,77,21.9,21.9
1,2004-03-07 09:00:00,84,24.1,24.1
1,2004-03-07 10:00:00,80,25.86,25.86
1,2004-03-07 11:00:00,86,27.26,27.26
1,2004-03-07 12:00:00,76,28.06,28.06
1,2004-03-07 13:00:00,78,28.55,28.55
1,2004-03-07 14:00:00,96,28.15,28.15
1,2004-03-07 15:00:00,81,27.58,27.58
1,2004-03-07 16:00:00,80,27.14,27.14
1,2004-03-07 17:00:00,86,26.23,26.23
1,2004-03-07 18:00:00,97,25.1,25.1
1,2004-03-07 19:00:00,101,24.22,24.22
1,2004-03-07 20:00:00,104,23.66,23.66
1,2004-03-07 21:00:00,96,23.28,23.28
1,2004-03-07 22:00:00,95,23.03,23.03
1,2004-03-07 23:00:00,97,22.81,22.81
1,2004-03-08 00:00:00,104,22.57,22.57
1,2004-03-08 01:00:00,95,22.31,22.31
1,2004-03-08 02:00:00,109,22.1,22.1
1,2004-03-08 03:00:00,102,21.86,21.86
1,2004-03-08 04:00:00,95,21.66,21.66
1,2004-03-08 05:00:00,107,21.45,21.45
1,2004-03-08 06:00:00,93,21.33,21.33
1,2004-03-08 07:00:00,95,24.08,24.08
1,2004-03-08 08:00:00,105,24.81,24.81
1,2004-03-08 09:00:00,92,25.84,25.84
1,2004-03-08 10:00:00,85,23.69,23.69
1,2004-03-08 11:00:00,87,22.46,22.46
1,2004-03-08 12:00:00,94,22.62,22.62
1,2004-03-08 13:00:00,91,22.56,22.56
1,2004-03-08 14:00:00,93,22.42,22.42
1,2004-03-08 15:00:00,84,22.02,22.02
1,2004-03-08 16:00:00,83,21.7,21.7
1,2004-03-08 17:00:00,89,21.7,21.7
1,2004-03-08 18:00:00,85,23.32,23.32
1,2004-03-08 19:00:00,84,23.97,23.97
1,2004-03-08 20:00:00,76,23.79,23.79
1,2004-03-08 21:00:00,86,23.45,23.45
1,2004-03-08 22:00:00,79,23.13,23.13
1,2004-03-08 23:00:00,85,22.83,22.83
1,2004-03-09 00:00:00,83,22.53,22.53
1,2004-03-09 01:00:00,79,22.21,22.21
1,2004-03-09 02:00:00,79,21.93,21.93
1,2004-03-09 03:00:00,79,21.69,21.69
1,2004-03-09 04:00:00,74,21.41,21.41
1,2004-03-09 05:00:00,76,21.24,21.24
1,2004-03-09 06:00:00,85,21.18,21.18
1,2004-03-09 07:00:00,85,22.27,22.27
1,2004-03-09 08:00:00,97,22.5,22.5
1,2004-03-09 09:00:00,83,21.93,21.93
1,2004-03-09 10:00:00,85,21.94,21.94
1,2004-03-09 11:00:00,80,22.07,22.07
1,2004-03-09 12:00:00,79,22.16,22.16
1,2004-03-09 13:00:00,73,23.14,23.14
1,2004-03-09 14:00:00,78,22.27,22.27
1,2004-03-09 15:00:00,82,21.93,21.93
1,2004-03-09 16:00:00,70,21.81,21.81
1,2004-03-09 17:00:00,77,21.52,21.52
1,2004-03-09 18:00:00,85,22.42,22.42
1,2004-03-09 19:00:00,85,22.71,22.71
1,2004-03-09 20:00:00,84,22.57,22.57
1,2004-03-09 21:00:00,93,22.36,22.36
1,2004-03-09 22:00:00,79,22.26,22.26
1,2004-03-09 23:00:00,84,22.2,22.2
1,2004-03-10 00:00:00,84,22.13,22.13
1,2004-03-10 01:00:00,85,21.79,21.79
1,2004-03-10 02:00:00,80,21.47,21.47
1,2004-03-10 03:00:00,86,21.32,21.32
1,2004-03-10 04:00:00,90,21.22,21.22
1,2004-03-10 05:00:00,92,21.12,21.12
1,2004-03-10 06:00:00,100,21.12,21.12
1,2004-03-10 07:00:00,88,22.48,22.48
1,2004-03-10 08:00:00,92,22.64,22.64
1,2004-03-10 09:00:00,8,22.86,22.86
1,2004-03-11 09:00:00,48,22.24,22.24
1,2004-03-11 10:00:00,116,22.17,22.17
1,2004-03-11 11:00:00,118,22.65,22.65
1,2004-03-11 12:00:00,110,22.75,22.75
1,2004-03-11 13:00:00,115,22.98,22.98
1,2004-03-11 14:00:00,117,22.71,22.71
1,2004-03-11 15:00:00,117,22.28,22.28
1,2004-03-11 16:00:00,116,21.68,21.68
1,2004-03-11 17:00:00,70,21.4,21.4
1,2004-03-11 18:00:00,81,22.5,22.5
1,2004-03-11 19:00:00,93,22.74,22.74
1,2004-03-11 20:00:00,79,22.58,22.58
1,2004-03-11 21:00:00,77,22.37,22.37
1,2004-03-11 22:00:00,82,22.06,22.06
1,2004-03-11 23:00:00,80,21.76,21.76
1,2004-03-12 00:00:00,84,21.28,21.28
1,2004-03-12 01:00:00,90,20.89,20.89
1,2004-03-12 02:00:00,91,20.58,20.58
1,2004-03-12 03:00:00,69,20.33,20.33
1,2004-03-12 04:00:00,100,20.05,20.05
1,2004-03-12 05:00:00,75,19.81,19.81
1,2004-03-12 06:00:00,81,19.69,19.69
1,2004-03-12 07:00:00,91,20.48,20.48
1,2004-03-12 08:00:00,86,20.34,20.34
1,2004-03-12 09:00:00,82,21.51,21.51
1,2004-03-12 10:00:00,72,22.21,22.21
1,2004-03-12 11:00:00,68,22.47,22.47
1,2004-03-12 12:00:00,83,22.11,22.11
1,2004-03-12 13:00:00,73,21.98,21.98
1,2004-03-12 14:00:00,61,21.8,21.8
1,2004-03-12 15:00:00,68,22.0,22.0
1,2004-03-12 16:00:00,66,21.77,21.77
1,2004-03-12 17:00:00,61,21.5,21.5
1,2004-03-12 18:00:00,55,22.03,22.03
1,2004-03-12 19:00:00,50,21.86,21.86
1,2004-03-12 20:00:00,69,21.6,21.6
1,2004-03-12 21:00:00,74,21.42,21.42
1,2004-03-12 22:00:00,82,21.23,21.23
1,2004-03-12 23:00:00,70,20.98,20.98
1,2004-03-13 00:00:00,69,20.76,20.76
1,2004-03-13 01:00:00,58,20.58,20.58
1,2004-03-13 02:00:00,56,20.45,20.45
1,2004-03-13 03:00:00,60,20.27,20.27
1,2004-03-13 04:00:00,69,20.12,20.12
1,2004-03-13 05:00:00,61,19.99,19.99
1,2004-03-13 06:00:00,65,19.91,19.91
1,2004-03-13 07:00:00,59,20.66,20.66
1,2004-03-13 08:00:00,54,22.64,22.64
1,2004-03-13 09:00:00,68,24.96,24.96
1,2004-03-13 10:00:00,43,26.9,26.9
1,2004-03-13 11:00:00,56,28.18,28.18
1,2004-03-13 12:00:00,58,28.77,28.77
1,2004-03-13 13:00:00,57,28.63,28.63
1,2004-03-13 14:00:00,62,27.97,27.97
1,2004-03-13 15:00:00,70,27.28,27.28
1,2004-03-13 16:00:00,58,26.61,26.61
1,2004-03-13 17:00:00,49,25.54,25.54
1,2004-03-13 18:00:00,61,24.3,24.3
1,2004-03-13 19:00:00,59,23.43,23.43
1,2004-03-13 20:00:00,64,22.83,22.83
1,2004-03-13 21:00:00,76,22.36,22.36
1,2004-03-13 22:00:00,66,21.97,21.97
1,2004-03-13 23:00:00,62,21.65,21.65
1,2004-03-14 00:00:00,74,21.36,21.36
1,2004-03-14 01:00:00,82,21.09,21.09
1,2004-03-14 02:00:00,69,20.8,20.8
1,2004-03-14 03:00:00,61,20.52,20.52
1,2004-03-14 04:00:00,65,20.33,20.33
1,2004-03-14 05:00:00,52,20.06,20.06
1,2004-03-14 06:00:00,49,19.87,19.87
1,2004-03-14 07:00:00,54,20.13,20.13
1,2004-03-14 08:00:00,55,22.1,22.1
1,2004-03-14 09:00:00,50,24.14,24.14
1,2004-03-14 10:00:00,63,26.0,26.0
1,2004-03-14 11:00:00,65,27.34,27.34
1,2004-03-14 12:00:00,56,28.34,28.34
1,2004-03-14 13:00:00,56,28.65,28.65
1,2004-03-14 14:00:00,56,28.26,28.26
1,2004-03-14 15:00:00,45,27.74,27.74
1,2004-03-14 16:00:00,64,27.01,27.01
1,2004-03-14 17:00:00,52,21.81,21.81
1,2004-03-14 18:00:00,64,21.77,21.77
1,2004-03-14 19:00:00,49,22.52,22.52
1,2004-03-14 20:00:00,45,21.47,21.47
1,2004-03-14 21:00:00,38,20.85,20.85
1,2004-03-14 22:00:00,38,21.0,21.0
1,2004-03-14 23:00:00,22,21.21,21.21
1,2004-03-15 00:00:00,13,21.22,21.22
1,2004-03-15 01:00:00,8,21.15,21.15
1,2004-03-15 02:00:00,19,21.1,21.1
1,2004-03-15 03:00:00,30,20.98,20.98
1,2004-03-15 04:00:00,35,20.84,20.84
1,2004-03-15 05:00:00,38,20.76,20.76
1,2004-03-15 06:00:00,18,20.73,20.73
1,2004-03-15 07:00:00,41,21.85,21.85
1,2004-03-15 08:00:00,42,22.32,22.32
1,2004-03-15 09:00:00,23,22.29,22.29
1,2004-03-15 10:00:00,26,21.75,21.75
1,2004-03-15 11:00:00,30,21.94,21.94
1,2004-03-15 12:00:00,30,22.06,22.06
1,2004-03-15 13:00:00,19,22.14,22.14
1,2004-03-15 14:00:00,20,21.54,21.54
1,2004-03-15 15:00:00,29,21.66,21.66
1,2004-03-16 11:00:00,34,21.89,21.89
1,2004-03-16 12:00:00,42,22.19,22.19
1,2004-03-16 13:00:00,47,22.23,22.23
1,2004-03-16 14:00:00,86,22.02,22.02
1,2004-03-16 15:00:00,83,21.68,21.68
1,2004-03-16 16:00:00,70,21.64,21.64
1,2004-03-16 17:00:00,69,21.86,21.86
1,2004-03-16 18:00:00,86,22.93,22.93
1,2004-03-16 19:00:00,69,23.49,23.49
1,2004-03-16 20:00:00,73,23.52,23.52
1,2004-03-16 21:00:00,86,23.38,23.38
1,2004-03-16 22:00:00,78,23.3,23.3
1,2004-03-16 23:00:00,98,23.18,23.18
1,2004-03-17 00:00:00,96,22.98,22.98
1,2004-03-17 01:00:00,70,22.79,22.79
1,2004-03-17 02:00:00,72,22.45,22.45
1,2004-03-17 03:00:00,75,22.1,22.1
1,2004-03-17 04:00:00,73,21.78,21.78
1,2004-03-17 05:00:00,84,21.57,21.57
1,2004-03-17 06:00:00,79,21.42,21.42
1,2004-03-17 07:00:00,72,21.03,21.03
1,2004-03-17 08:00:00,80,20.56,20.56
1,2004-03-17 09:00:00,80,21.23,21.23
1,2004-03-17 10:00:00,90,21.97,21.97
1,2004-03-17 11:00:00,91,21.96,21.96
1,2004-03-17 12:00:00,94,21.76,21.76
1,2004-03-17 13:00:00,91,21.88,21.88
1,2004-03-17 14:00:00,79,21.91,21.91
1,2004-03-17 15:00:00,78,21.68,21.68
1,2004-03-17 16:00:00,70,21.63,21.63
1,2004-03-17 17:00:00,71,21.53,21.53
1,2004-03-17 18:00:00,57,22.43,22.43
1,2004-03-17 19:00:00,74,22.84,22.84
1,2004-03-17 20:00:00,69,22.65,22.65
1,2004-03-17 21:00:00,65,22.42,22.42
1,2004-03-17 22:00:00,79,22.19,22.19
1,2004-03-17 23:00:00,79,21.94,21.94
1,2004-03-18 00:00:00,87,21.75,21.75
1,2004-03-18 01:00:00,72,21.43,21.43
1,2004-03-18 02:00:00,74,21.0,21.0
1,2004-03-18 03:00:00,80,20.73,20.73
1,2004-03-18 04:00:00,85,20.54,20.54
1,2004-03-18 05:00:00,85,20.34,20.34
1,2004-03-18 06:00:00,77,20.21,20.21
1,2004-03-18 07:00:00,20,19.86,19.86
1,2004-03-18 08:00:00,15,19.74,19.74
1,2004-03-18 09:00:00,23,20.16,20.16
1,2004-03-18 10:00:00,18,21.24,21.24
1,2004-03-18 11:00:00,14,21.71,21.71
1,2004-03-18 12:00:00,6,22.21,22.21
1,2004-03-18 13:00:00,19,22.18,22.18
1,2004-03-18 14:00:00,7,21.7,21.7
1,2004-03-18 15:00:00,13,21.55,21.55
1,2004-03-18 16:00:00,10,21.6,21.6
1,2004-03-18 17:00:00,34,21.06,21.06
1,2004-03-18 18:00:00,39,21.49,21.49
1,2004-03-18 19:00:00,47,21.61,21.61
1,2004-03-18 20:00:00,55,21.42,21.42
1,2004-03-18 21:00:00,59,21.21,21.21
1,2004-03-18 22:00:00,56,20.95,20.95
1,2004-03-18 23:00:00,54,20.67,20.67
1,2004-03-19 00:00:00,72,20.43,20.43
1,2004-03-19 01:00:00,47,20.14,20.14
1,2004-03-19 02:00:00,57,19.71,19.71
1,2004-03-19 03:00:00,46,19.32,19.32
1,2004-03-19 04:00:00,63,19.03,19.03
1,2004-03-19 05:00:00,57,18.87,18.87
1,2004-03-19 06:00:00,43,18.77,18.77
1,2004-03-19 07:00:00,45,18.82,18.82
1,2004-03-19 08:00:00,57,19.62,19.62
1,2004-03-19 09:00:00,59,19.66,19.66
1,2004-03-19 10:00:00,46,21.32,21.32
1,2004-03-19 11:00:00,43,22.41,22.41
1,2004-03-19 12:00:00,60,22.58,22.58
1,2004-03-19 13:00:00,39,22.64,22.64
1,2004-03-19 14:00:00,59,22.54,22.54
1,2004-03-19 15:00:00,69,21.91,21.91
1,2004-03-19 16:00:00,69,21.54,21.54
1,2004-03-19 17:00:00,65,21.43,21.43
1,2004-03-19 18:00:00,58,21.87,21.87
1,2004-03-19 19:00:00,39,21.71,21.71
1,2004-03-19 20:00:00,42,21.44,21.44
1,2004-03-19 21:00:00,70,21.15,21.15
1,2004-03-19 22:00:00,62,20.91,20.91
1,2004-03-19 23:00:00,53,20.68,20.68
1,2004-03-20 00:00:00,49,20.44,20.44
1,2004-03-20 01:00:00,56,20.26,20.26
1,2004-03-20 02:00:00,43,20.05,20.05
1,2004-03-20 03:00:00,71,19.85,19.85
1,2004-03-20 04:00:00,66,19.67,19.67
1,2004-03-20 05:00:00,48,19.51,19.51
1,2004-03-20 06:00:00,66,19.35,19.35
1,2004-03-20 07:00:00,46,19.82,19.82
1,2004-03-20 08:00:00,68,21.9,21.9
1,2004-03-20 09:00:00,57,24.05,24.05
1,2004-03-20 10:00:00,55,25.91,25.91
1,2004-03-20 11:00:00,50,27.41,27.41
1,2004-03-20 12:00:00,40,28.29,28.29
1,2004-03-20 13:00:00,44,28.46,28.46
1,2004-03-20 14:00:00,56,27.63,27.63
1,2004-03-20 15:00:00,48,26.96,26.96
1,2004-03-20 16:00:00,52,25.94,25.94
1,2004-03-20 17:00:00,62,24.72,24.72
1,2004-03-20 18:00:00,55,23.73,23.73
1,2004-03-20 19:00:00,42,22.9,22.9
1,2004-03-20 20:00:00,57,22.36,22.36
1,2004-03-20 21:00:00,38,21.97,21.97
1,2004-03-20 22:00:00,39,21.56,21.56
1,2004-03-20 23:00:00,56,21.25,21.25
1,2004-03-21 00:00:00,40,20.94,20.94
1,2004-03-21 01:00:00,45,20.67,20.67
1,2004-03-21 02:00:00,57,20.49,20.49
1,2004-03-21 03:00:00,57,20.35,20.35
1,2004-03-21 04:00:00,47,20.19,20.19
1,2004-03-21 05:00:00,60,20.01,20.01
1,2004-03-21 06:00:00,40,19.87,19.87
1,2004-03-21 07:00:00,57,19.71,19.71
1,2004-03-21 08:00:00,46,19.56,19.56
1,2004-03-21 09:00:00,50,19.57,19.57
1,2004-03-21 10:00:00,62,19.69,19.69
1,2004-03-21 11:00:00,54,22.43,22.43
1,2004-03-21 12:00:00,39,24.47,24.47
1,2004-03-21 13:00:00,37,24.59,24.59
1,2004-03-21 14:00:00,57,24.4,24.4
1,2004-03-21 15:00:00,44,23.41,23.41
1,2004-03-21 16:00:00,61,22.68,22.68
1,2004-03-21 17:00:00,58,21.97,21.97
1,2004-03-21 18:00:00,43,21.35,21.35
1,2004-03-21 19:00:00,30,20.94,20.94
1,2004-03-21 20:00:00,34,20.7,20.7
1,2004-03-21 21:00:00,27,20.45,20.45
1,2004-03-21 22:00:00,31,20.16,20.16
1,2004-03-21 23:00:00,26,19.94,19.94
1,2004-03-22 00:00:00,21,19.69,19.69
1,2004-03-22 01:00:00,29,19.56,19.56
1,2004-03-22 02:00:00,15,19.49,19.49
1,2004-03-22 03:00:00,26,19.44,19.44
1,2004-03-22 04:00:00,15,19.41,19.41
1,2004-03-22 05:00:00,31,19.32,19.32
1,2004-03-22 06:00:00,32,19.3,19.3
1,2004-03-22 07:00:00,33,19.43,19.43
1,2004-03-22 08:00:00,30,19.63,19.63
1,2004-03-22 09:00:00,24,20.12,20.12
1,2004-03-22 10:00:00,24,21.49,21.49
1,2004-03-22 11:00:00,20,22.52,22.52
1,2004-03-22 12:00:00,18,22.88,22.88
1,2004-03-22 13:00:00,16,22.91,22.91
1,2004-03-22 14:00:00,26,22.74,22.74
1,2004-03-22 15:00:00,28,22.93,22.93
1,2004-03-22 16:00:00,32,23.05,23.05
1,2004-03-22 17:00:00,25,23.29,23.29
1,2004-03-22 18:00:00,29,23.73,23.73
1,2004-03-22 19:00:00,29,24.13,24.13
1,2004-03-22 20:00:00,36,24.43,24.43
1,2004-03-22 21:00:00,33,24.98,24.98
1,2004-03-22 22:00:00,25,25.81,25.81
1,2004-03-22 23:00:00,35,26.84,26.84
1,2004-03-23 00:00:00,28,28.24,28.24
1,2004-03-23 01:00:00,76,30.2,30.2
1,2004-03-23 02:00:00,57,32.72,32.72
1,2004-03-23 03:00:00,78,35.56,35.56
1,2004-03-23 04:00:00,63,38.93,38.93
1,2004-03-23 05:00:00,68,43.11,43.11
1,2004-03-23 06:00:00,68,47.67,47.67
1,2004-03-23 07:00:00,53,52.51,
1,2004-03-23 08:00:00,56,57.1,
1,2004-03-23 09:00:00,73,57.07,
1,2004-03-23 10:00:00,55,58.0,
1,2004-03-23 11:00:00,50,59.01,
1,2004-03-23 12:00:00,72,59.85,
1,2004-03-23 13:00:00,50,60.65,
1,2004-03-23 14:00:00,94,62.82,
1,2004-03-23 15:00:00,66,65.83,
1,2004-03-23 16:00:00,80,70.18,
1,2004-03-23 17:00:00,82,74.04,
1,2004-03-23 18:00:00,81,74.45,
1,2004-03-23 19:00:00,77,78.06,
1,2004-03-23 20:00:00,79,86.57,
1,2004-03-23 21:00:00,69,96.93,
1,2004-03-23 22:00:00,66,106.43,
1,2004-03-23 23:00:00,61,117.65,
1,2004-03-24 00:00:00,49,122.14,
