sensor_id,ts,voltage,voltage_1h_avg,n_in_window
1,2004-02-28 02:40:46.121260,2.68742,2.6928,41
1,2004-02-28 02:41:16.692999,2.69964,2.6929,42
1,2004-02-28 02:42:46.365373,2.68742,2.6928,41
1,2004-02-28 02:43:46.923849,2.68742,2.6927,42
1,2004-02-28 02:46:46.166591,2.68742,2.6925,41
1,2004-02-28 02:47:46.132100,2.69964,2.6928,41
1,2004-02-28 02:50:16.186743,2.68742,2.6923,40
1,2004-02-28 03:02:17.064743,2.67532,2.6911,33
1,2004-02-28 03:05:46.581160,2.68742,2.691,34
1,2004-02-28 03:07:46.193901,2.68742,2.6909,35
1,2004-02-28 03:08:16.336506,2.68742,2.6908,36
1,2004-02-28 03:08:47.118704,2.69964,2.6911,37
1,2004-02-28 03:10:17.006142,2.68742,2.6911,37
1,2004-02-28 03:10:46.497890,2.68742,2.691,38
1,2004-02-28 03:15:16.947661,2.68742,2.6909,35
1,2004-02-28 03:19:17.102594,2.68742,2.6911,33
1,2004-02-28 03:20:46.586630,2.68742,2.6908,33
1,2004-02-28 03:23:46.447157,2.68742,2.6903,30
1,2004-02-28 03:24:16.877689,2.68742,2.6899,30
1,2004-02-28 03:25:16.353580,2.68742,2.6899,30
1,2004-02-28 03:26:16.320539,2.68742,2.6895,30
1,2004-02-28 03:28:47.036129,2.68742,2.6891,30
1,2004-02-28 03:29:47.077182,2.67532,2.6886,31
1,2004-02-28 03:30:16.265942,2.69964,2.6886,31
1,2004-02-28 03:32:16.659595,2.68742,2.6886,30
1,2004-02-28 03:33:46.915347,2.68742,2.6886,31
1,2004-02-28 03:34:46.131660,2.68742,2.6886,32
1,2004-02-28 03:36:16.504041,2.69964,2.689,31
1,2004-02-28 03:36:47.220557,2.68742,2.6886,31
1,2004-02-28 03:37:46.336297,2.68742,2.6886,32
1,2004-02-28 03:40:47.111611,2.69964,2.6891,30
1,2004-02-28 03:41:16.942030,2.68742,2.6886,30
1,2004-02-28 03:41:47.056264,2.68742,2.6886,31
1,2004-02-28 03:42:16.338341,2.69964,2.689,32
1,2004-02-28 03:45:46.527424,2.68742,2.689,31
1,2004-02-28 03:46:16.159884,2.68742,2.689,32
1,2004-02-28 03:48:16.620748,2.67532,2.6882,31
1,2004-02-28 03:48:47.027382,2.68742,2.6882,32
1,2004-02-28 03:49:17.144805,2.68742,2.6882,33
1,2004-02-28 03:50:16.962891,2.68742,2.6882,33
1,2004-02-28 03:51:16.663160,2.68742,2.6881,34
1,2004-02-28 03:52:46.918528,2.68742,2.6881,35
1,2004-02-28 03:53:16.177309,2.68742,2.6881,36
1,2004-02-28 03:53:46.584561,2.68742,2.6881,37
1,2004-02-28 03:54:46.518158,2.68742,2.6881,38
1,2004-02-28 03:56:46.430894,2.67532,2.6877,39
1,2004-02-28 03:57:16.842068,2.68742,2.6877,40
1,2004-02-28 03:58:47.007662,2.68742,2.6877,41
1,2004-02-28 04:00:16.541715,2.68742,2.6877,42
1,2004-02-28 04:01:16.384799,2.69964,2.688,43
1,2004-02-28 04:03:18.685070,2.68742,2.6883,43
1,2004-02-28 04:05:47.033904,2.68742,2.6883,43
1,2004-02-28 04:08:16.775742,2.68742,2.6883,42
1,2004-02-28 04:08:46.835821,2.67532,2.688,43
1,2004-02-28 04:09:16.243433,2.68742,2.6877,43
1,2004-02-28 04:10:46.322553,2.68742,2.6877,43
1,2004-02-28 04:11:16.776434,2.68742,2.6877,43
1,2004-02-28 04:11:47.203717,2.67532,2.6874,44
1,2004-02-28 04:14:17.118766,2.68742,2.6874,45
1,2004-02-28 04:15:46.647095,2.68742,2.6874,45
1,2004-02-28 04:16:17.073143,2.68742,2.6874,46
1,2004-02-28 04:18:47.019399,2.68742,2.6874,47
1,2004-02-28 04:19:46.511723,2.68742,2.6874,47
1,2004-02-28 04:21:46.307589,2.68742,2.6874,47
1,2004-02-28 04:23:46.854938,2.67532,2.6872,47
1,2004-02-28 04:25:17.167535,2.68742,2.6872,46
1,2004-02-28 04:26:16.276988,2.68742,2.6872,47
1,2004-02-28 04:26:47.042855,2.68742,2.6872,47
1,2004-02-28 04:27:16.717718,2.67532,2.6869,48
1,2004-02-28 04:27:47.185901,2.69964,2.6872,49
1,2004-02-28 04:29:46.692513,2.67532,2.6869,49
1,2004-02-28 04:30:16.282320,2.68742,2.6869,48
1,2004-02-28 04:31:46.793372,2.68742,2.6869,49
1,2004-02-28 04:35:16.476847,2.67532,2.6867,47
1,2004-02-28 04:35:46.562472,2.67532,2.6864,48
1,2004-02-28 04:36:46.962053,2.68742,2.6862,48
1,2004-02-28 04:40:16.838106,2.68742,2.6861,47
1,2004-02-28 04:40:47.105162,2.68742,2.6862,48
1,2004-02-28 04:44:16.859965,2.67532,2.6853,45
1,2004-02-28 04:45:16.420203,2.68742,2.6853,46
1,2004-02-28 04:45:47.139975,2.68742,2.6853,46
1,2004-02-28 04:46:16.314707,2.68742,2.6853,46
1,2004-02-28 04:46:46.549757,2.68742,2.6854,47
1,2004-02-28 04:48:16.528963,2.67532,2.6852,48
1,2004-02-28 04:48:46.700718,2.67532,2.6852,48
1,2004-02-28 04:50:46.587995,2.68742,2.6851,46
1,2004-02-28 04:51:16.536370,2.68742,2.6851,47
1,2004-02-28 04:54:46.657051,2.67532,2.6846,43
1,2004-02-28 04:55:17.164820,2.68742,2.6847,44
1,2004-02-28 04:56:17.120256,2.67532,2.6845,45
1,2004-02-28 04:57:16.358003,2.67532,2.6845,45
1,2004-02-28 04:59:46.529357,2.67532,2.6841,44
1,2004-02-28 05:03:16.388863,2.67532,2.6835,43
1,2004-02-28 05:05:16.623231,2.67532,2.6832,43
1,2004-02-28 05:06:17.027375,2.67532,2.6829,43
1,2004-02-28 05:07:17.167233,2.67532,2.6827,44
1,2004-02-28 05:08:46.970460,2.67532,2.6826,43
1,2004-02-28 05:10:16.805574,2.67532,2.6824,43
1,2004-02-28 05:10:46.511080,2.68742,2.6824,43
1,2004-02-28 05:11:17.021858,2.68742,2.6824,43
1,2004-02-28 05:11:47.005176,2.68742,2.6825,44
1,2004-02-28 05:12:16.945328,2.67532,2.6825,44
1,2004-02-28 05:14:47.190811,2.67532,2.6822,44
1,2004-02-28 05:15:47.188254,2.67532,2.6819,44
1,2004-02-28 05:16:17.300349,2.68742,2.6819,44
1,2004-02-28 05:17:16.424978,2.68742,2.682,45
1,2004-02-28 05:17:46.812866,2.68742,2.6822,46
1,2004-02-28 05:23:46.520350,2.67532,2.6816,44
1,2004-02-28 05:24:16.855154,2.67532,2.6816,44
1,2004-02-28 05:25:47.257361,2.67532,2.6814,44
1,2004-02-28 05:26:47.319359,2.68742,2.6812,43
1,2004-02-28 05:29:17.187820,2.67532,2.6808,42
1,2004-02-28 05:29:47.515624,2.67532,2.6808,42
1,2004-02-28 05:31:46.788733,2.68742,2.6808,42
1,2004-02-28 05:32:16.483466,2.67532,2.6805,42
1,2004-02-28 05:32:46.884373,2.67532,2.6804,43
1,2004-02-28 05:33:16.692785,2.67532,2.6803,44
1,2004-02-28 05:34:17.144783,2.68742,2.6804,45
1,2004-02-28 05:36:47.408070,2.67532,2.6804,43
1,2004-02-28 05:38:17.018901,2.68742,2.6805,44
1,2004-02-28 05:39:16.758309,2.67532,2.6804,45
1,2004-02-28 05:40:17.035065,2.68742,2.6804,45
1,2004-02-28 05:40:47.232628,2.67532,2.6802,45
1,2004-02-28 05:41:16.821731,2.67532,2.6801,46
1,2004-02-28 05:42:46.557994,2.67532,2.68,47
1,2004-02-28 05:44:16.345102,2.67532,2.6799,48
1,2004-02-28 05:44:47.258068,2.68742,2.6801,48
1,2004-02-28 05:46:17.459428,2.66332,2.6793,46
1,2004-02-28 05:49:47.097164,2.67532,2.6792,44
1,2004-02-28 05:51:16.588336,2.68742,2.679,43
1,2004-02-28 05:54:47.287403,2.67532,2.679,43
1,2004-02-28 05:55:17.113072,2.67532,2.6789,44
1,2004-02-28 05:55:46.759724,2.67532,2.6786,44
1,2004-02-28 05:56:16.598863,2.67532,2.6785,45
1,2004-02-28 05:57:47.117281,2.67532,2.6786,44
1,2004-02-28 05:58:47.160050,2.68742,2.6788,45
1,2004-02-28 05:59:46.963470,2.67532,2.6788,45
1,2004-02-28 06:01:16.399479,2.67532,2.6787,46
1,2004-02-28 06:03:17.064269,2.67532,2.6787,46
1,2004-02-28 06:03:46.715768,2.67532,2.6787,47
1,2004-02-28 06:05:16.404957,2.67532,2.6786,48
1,2004-02-28 06:06:17.440443,2.68742,2.6789,47
1,2004-02-28 06:06:47.131433,2.67532,2.6789,48
1,2004-02-28 06:07:46.813514,2.67532,2.6789,48
1,2004-02-28 06:08:16.709038,2.68742,2.679,49
1,2004-02-28 06:09:17.629072,2.67532,2.679,49
1,2004-02-28 06:09:47.027577,2.67532,2.679,50
1,2004-02-28 06:10:16.890488,2.67532,2.679,50
1,2004-02-28 06:10:47.223797,2.68742,2.679,50
1,2004-02-28 06:11:16.743329,2.67532,2.6789,51
1,2004-02-28 06:11:46.637331,2.68742,2.6789,51
1,2004-02-28 06:12:16.895711,2.67532,2.6786,51
1,2004-02-28 06:13:16.457019,2.67532,2.6786,51
1,2004-02-28 06:15:17.648881,2.67532,2.6786,51
1,2004-02-28 06:16:17.317803,2.68742,2.6787,50
1,2004-02-28 06:17:16.937422,2.67532,2.6785,50
1,2004-02-28 06:19:46.919439,2.67532,2.6782,50
1,2004-02-28 06:22:17.293348,2.66332,2.6779,51
1,2004-02-28 06:23:17.705597,2.67532,2.6779,52
1,2004-02-28 06:24:46.464404,2.67532,2.6779,51
1,2004-02-28 06:25:17.189367,2.67532,2.6779,52
1,2004-02-28 06:27:16.465536,2.67532,2.6777,51
1,2004-02-28 06:27:46.584588,2.67532,2.6777,52
1,2004-02-28 06:28:47.126615,2.67532,2.6776,53
1,2004-02-28 06:30:47.445161,2.67532,2.6777,52
1,2004-02-28 06:32:17.243803,2.67532,2.6775,51
1,2004-02-28 06:34:16.766473,2.67532,2.6775,50
1,2004-02-28 06:35:47.107717,2.67532,2.6773,50
1,2004-02-28 06:36:46.775493,2.68742,2.6775,51
1,2004-02-28 06:37:46.486717,2.67532,2.6775,51
1,2004-02-28 06:38:16.836008,2.67532,2.6774,52
1,2004-02-28 06:38:47.467064,2.67532,2.6772,52
1,2004-02-28 06:39:17.260621,2.67532,2.6772,52
1,2004-02-28 06:39:47.479108,2.67532,2.6772,53
1,2004-02-28 06:40:16.680876,2.67532,2.6771,54
1,2004-02-28 06:40:46.901212,2.67532,2.6769,54
1,2004-02-28 06:42:16.783051,2.68742,2.6772,53
1,2004-02-28 06:43:47.046639,2.68742,2.6774,53
1,2004-02-28 06:49:47.029614,2.67532,2.6775,51
1,2004-02-28 06:53:17.426904,2.67532,2.6773,50
1,2004-02-28 07:00:17.369668,2.67532,2.6772,44
1,2004-02-28 07:03:17.465725,2.67532,2.6773,43
1,2004-02-28 07:04:17.597071,2.67532,2.6773,43
1,2004-02-28 07:05:17.330544,2.67532,2.6773,43
1,2004-02-28 07:10:47.838123,2.67532,2.6767,36
1,2004-02-28 07:14:16.680696,2.67532,2.6764,33
1,2004-02-28 07:16:46.674570,2.67532,2.6761,32
1,2004-02-28 07:29:16.887654,2.67532,2.6768,24
1,2004-02-28 07:29:46.705759,2.68742,2.6773,25
1,2004-02-28 07:32:17.131713,2.67532,2.6773,25
1,2004-02-28 07:35:47.113953,2.67532,2.6774,23
1,2004-02-28 07:36:17.194981,2.67532,2.6773,24
1,2004-02-28 07:37:17.227013,2.68742,2.6773,24
1,2004-02-28 07:38:17.809174,2.68742,2.678,23
1,2004-02-28 07:38:48.000110,2.67532,2.678,23
1,2004-02-28 07:39:17.124362,2.67532,2.6778,24
1,2004-02-28 07:41:17.130624,2.68742,2.6788,21
1,2004-02-28 07:41:46.966421,2.68742,2.6792,22
1,2004-02-28 07:43:47.524823,2.67532,2.6782,21
1,2004-02-28 07:44:47.430977,2.67532,2.6781,22
1,2004-02-28 07:45:16.813396,2.67532,2.678,23
1,2004-02-28 07:45:46.961379,2.67532,2.6778,24
1,2004-02-28 07:46:46.844655,2.67532,2.6777,25
1,2004-02-28 07:47:17.409702,2.67532,2.6776,26
1,2004-02-28 07:47:47.200804,2.67532,2.6776,27
1,2004-02-28 07:49:17.367968,2.67532,2.6775,28
1,2004-02-28 07:49:46.555703,2.67532,2.6774,29
1,2004-02-28 07:50:17.145631,2.67532,2.6774,29
1,2004-02-28 07:51:17.066356,2.67532,2.6773,30
1,2004-02-28 07:54:46.722589,2.67532,2.6773,30
1,2004-02-28 07:55:17.413924,2.68742,2.6777,31
1,2004-02-28 07:59:46.849440,2.68742,2.678,32
1,2004-02-28 08:01:16.853075,2.67532,2.678,32
1,2004-02-28 08:04:16.681700,2.68742,2.6783,32
1,2004-02-28 08:06:47.363341,2.68742,2.6788,31
1,2004-02-28 08:07:17.819313,2.68742,2.6791,32
1,2004-02-28 08:08:16.920596,2.68742,2.6794,33
1,2004-02-28 08:11:16.846710,2.67532,2.6794,33
1,2004-02-28 08:12:48.051422,2.68742,2.6796,34
1,2004-02-28 08:13:18.270816,2.68742,2.6798,35
1,2004-02-28 08:13:47.810027,2.68742,2.68,36
1,2004-02-28 08:14:16.654990,2.68742,2.6802,37
1,2004-02-28 08:14:47.632289,2.68742,2.6806,37
1,2004-02-28 08:15:17.844953,2.68742,2.6807,38
1,2004-02-28 08:15:46.932263,2.68742,2.6809,39
1,2004-02-28 08:19:47.713240,2.68742,2.6812,39
1,2004-02-28 08:21:17.597275,2.68742,2.6814,40
1,2004-02-28 08:22:18.006932,2.68742,2.6815,41
1,2004-02-28 08:23:16.876998,2.68742,2.6817,42
1,2004-02-28 08:24:16.673920,2.68742,2.6818,43
1,2004-02-28 08:25:17.835513,2.68742,2.6819,44
1,2004-02-28 08:26:47.857875,2.69964,2.6823,45
1,2004-02-28 08:27:47.570686,2.68742,2.6824,46
1,2004-02-28 08:28:17.906427,2.69964,2.6828,47
1,2004-02-28 08:30:17.410797,2.68742,2.683,46
1,2004-02-28 08:30:47.166807,2.69964,2.6833,47
1,2004-02-28 08:31:46.865476,2.68742,2.6834,48
1,2004-02-28 08:32:47.570253,2.69964,2.6839,48
1,2004-02-28 08:35:17.929571,2.69964,2.6842,49
1,2004-02-28 08:35:47.736949,2.68742,2.6845,49
1,2004-02-28 08:36:17.760610,2.69964,2.685,49
1,2004-02-28 08:39:18.273041,2.69964,2.6856,46
1,2004-02-28 08:41:47.459275,2.69964,2.6858,45
1,2004-02-28 08:42:16.710528,2.68742,2.6859,46
1,2004-02-28 08:42:47.664119,2.69964,2.6862,47
1,2004-02-28 08:47:46.800312,2.69964,2.688,42
1,2004-02-28 08:49:17.168106,2.69964,2.6886,42
1,2004-02-28 08:54:17.442949,2.69964,2.6902,39
1,2004-02-28 08:55:47.808045,2.69964,2.691,38
1,2004-02-28 08:56:18.038989,2.69964,2.6912,39
1,2004-02-28 08:58:47.874200,2.69964,2.6914,40
1,2004-02-28 08:59:47.636166,2.69964,2.6917,40
1,2004-02-28 09:00:47.194430,2.69964,2.6919,41
1,2004-02-28 09:02:48.432426,2.69964,2.6925,41
1,2004-02-28 09:04:16.937608,2.69964,2.6928,41
1,2004-02-28 09:06:17.632418,2.69964,2.693,42
1,2004-02-28 09:11:17.074499,2.71196,2.6943,39
1,2004-02-28 09:11:48.403808,2.71196,2.6948,40
1,2004-02-28 09:12:47.546582,2.71196,2.6952,41
1,2004-02-28 09:13:18.483904,2.71196,2.696,40
1,2004-02-28 09:13:48.367793,2.71196,2.6966,40
1,2004-02-28 09:14:17.324199,2.71196,2.6972,40
1,2004-02-28 09:14:47.804865,2.71196,2.6978,40
1,2004-02-28 09:15:47.929036,2.71196,2.6987,39
1,2004-02-28 09:16:17.170041,2.71196,2.6991,40
1,2004-02-28 09:16:47.013722,2.69964,2.6991,41
1,2004-02-28 09:17:47.224685,2.71196,2.6994,42
1,2004-02-28 09:18:47.591686,2.71196,2.6997,43
1,2004-02-28 09:19:18.223490,2.71196,2.6999,44
1,2004-02-28 09:19:47.581454,2.71196,2.7002,45
1,2004-02-28 09:20:47.731894,2.71196,2.7008,45
1,2004-02-28 09:21:18.850325,2.71196,2.7013,45
1,2004-02-28 09:23:18.457358,2.71196,2.7022,44
1,2004-02-28 09:23:47.007217,2.71196,2.7024,45
1,2004-02-28 09:24:17.595944,2.71196,2.7029,45
1,2004-02-28 09:25:47.692026,2.71196,2.7035,45
1,2004-02-28 09:26:48.148059,2.71196,2.7038,45
1,2004-02-28 09:27:16.887541,2.7244,2.7042,46
1,2004-02-28 09:29:18.355047,2.71196,2.7049,45
1,2004-02-28 09:29:47.237802,2.7244,2.7053,46
1,2004-02-28 09:31:17.002886,2.71196,2.7059,45
1,2004-02-28 09:33:18.675283,2.7244,2.7069,44
1,2004-02-28 09:33:48.395299,2.7244,2.7073,45
1,2004-02-28 09:34:17.649673,2.71196,2.7074,46
1,2004-02-28 09:34:47.207961,2.71196,2.7075,47
1,2004-02-28 09:35:18.459294,2.7244,2.708,47
1,2004-02-28 09:35:47.191022,2.7244,2.7084,48
1,2004-02-28 09:36:48.887322,2.7244,2.7094,47
1,2004-02-28 09:37:47.214097,2.7244,2.7097,48
1,2004-02-28 09:38:17.058752,2.71196,2.7097,49
1,2004-02-28 09:39:18.106053,2.7244,2.71,50
1,2004-02-28 09:39:48.050812,2.71196,2.7103,50
1,2004-02-28 09:40:17.879248,2.7244,2.7105,51
1,2004-02-28 09:41:17.172735,2.7244,2.7108,52
1,2004-02-28 09:43:16.934353,2.7244,2.712,50
1,2004-02-28 09:46:47.874724,2.71196,2.712,51
1,2004-02-28 09:47:46.750151,2.7244,2.7122,52
1,2004-02-28 09:48:17.109163,2.7244,2.7127,52
1,2004-02-28 09:49:47.739135,2.71196,2.7129,52
1,2004-02-28 09:51:47.732764,2.7244,2.7132,53
1,2004-02-28 09:52:46.999592,2.7244,2.7134,54
1,2004-02-28 09:53:18.115871,2.7244,2.7136,55
1,2004-02-28 09:54:18.078011,2.73696,2.7142,55
1,2004-02-28 09:54:47.357773,2.7244,2.7144,56
1,2004-02-28 09:55:16.975659,2.71196,2.7144,57
1,2004-02-28 09:55:46.762775,2.7244,2.7146,58
1,2004-02-28 09:56:17.402154,2.7244,2.715,58
1,2004-02-28 09:57:16.963390,2.7244,2.7154,58
1,2004-02-28 09:57:48.705279,2.7244,2.7156,59
1,2004-02-28 09:58:16.903314,2.7244,2.7157,60
1,2004-02-28 09:58:47.985815,2.7244,2.7161,60
1,2004-02-28 09:59:16.879398,2.7244,2.7163,61
1,2004-02-28 09:59:47.646142,2.7244,2.7167,61
1,2004-02-28 10:00:17.380354,2.73696,2.717,62
1,2004-02-28 10:00:47.502209,2.7244,2.7174,62
1,2004-02-28 10:01:17.030659,2.7244,2.7175,63
1,2004-02-28 10:04:48.343405,2.7244,2.7182,62
1,2004-02-28 10:05:47.684294,2.7244,2.7183,63
1,2004-02-28 10:06:17.592574,2.7244,2.7184,64
1,2004-02-28 10:07:17.837028,2.73696,2.719,64
1,2004-02-28 10:07:47.965621,2.7244,2.719,65
1,2004-02-28 10:08:47.351802,2.73696,2.7193,66
1,2004-02-28 10:10:17.929431,2.7244,2.7194,67
1,2004-02-28 10:10:49.022495,2.7244,2.7195,68
1,2004-02-28 10:12:48.222849,2.7244,2.7199,66
1,2004-02-28 10:15:48.036110,2.73696,2.7208,62
1,2004-02-28 10:16:46.867063,2.7244,2.721,62
1,2004-02-28 10:18:17.392711,2.73696,2.7218,61
1,2004-02-28 10:18:47.308278,2.7244,2.7218,62
1,2004-02-28 10:21:17.366609,2.7244,2.7225,59
1,2004-02-28 10:23:17.460197,2.73696,2.7229,59
1,2004-02-28 10:23:47.284647,2.73696,2.7236,58
1,2004-02-28 10:24:17.593831,2.73696,2.7238,59
1,2004-02-28 10:24:48.193557,2.73696,2.7242,59
1,2004-02-28 10:25:47.166135,2.7244,2.7242,60
1,2004-02-28 10:26:17.843579,2.73696,2.7246,60
1,2004-02-28 10:26:47.684725,2.74963,2.725,61
1,2004-02-28 10:27:18.670899,2.73696,2.7255,60
1,2004-02-28 10:27:46.988208,2.73696,2.7257,61
1,2004-02-28 10:29:17.408282,2.7244,2.7256,62
1,2004-02-28 10:29:47.459184,2.73696,2.7261,61
1,2004-02-28 10:30:17.261802,2.73696,2.7262,62
1,2004-02-28 10:32:17.196145,2.73696,2.7266,62
1,2004-02-28 10:35:18.205764,2.73696,2.7274,59
1,2004-02-28 10:36:16.994698,2.73696,2.7277,58
1,2004-02-28 10:37:17.616115,2.73696,2.7279,58
1,2004-02-28 10:37:47.674644,2.73696,2.7281,58
1,2004-02-28 10:38:17.289624,2.73696,2.7285,58
1,2004-02-28 10:38:47.224333,2.73696,2.7287,59
1,2004-02-28 10:39:46.759594,2.73696,2.7289,59
1,2004-02-28 10:41:16.994309,2.7244,2.7292,58
1,2004-02-28 10:42:47.925758,2.73696,2.7294,58
1,2004-02-28 10:45:47.793577,2.73696,2.7296,58
1,2004-02-28 10:46:18.094586,2.73696,2.7297,59
1,2004-02-28 10:50:47.444741,2.73696,2.7307,56
1,2004-02-28 10:51:48.065804,2.73696,2.7309,56
1,2004-02-28 10:53:18.604161,2.74963,2.7315,55
1,2004-02-28 10:53:48.410107,2.73696,2.7316,56
1,2004-02-28 10:55:47.205874,2.73696,2.7322,53
1,2004-02-28 10:57:17.152940,2.73696,2.7326,52
1,2004-02-28 10:58:47.165000,2.73696,2.733,51
1,2004-02-28 11:00:48.600247,2.73696,2.7338,47
1,2004-02-28 11:02:18.409063,2.74963,2.7343,47
1,2004-02-28 11:02:47.498406,2.74963,2.7346,48
1,2004-02-28 11:03:17.513272,2.73696,2.7347,49
1,2004-02-28 11:04:47.622515,2.73696,2.7347,50
1,2004-02-28 11:06:46.988167,2.74963,2.7357,48
1,2004-02-28 11:07:48.758701,2.73696,2.7359,47
1,2004-02-28 11:08:17.545197,2.73696,2.7359,48
1,2004-02-28 11:08:48.260734,2.73696,2.7359,48
1,2004-02-28 11:09:47.655684,2.74963,2.7362,49
1,2004-02-28 11:10:18.903831,2.73696,2.7365,49
1,2004-02-28 11:10:47.083690,2.74963,2.7367,50
1,2004-02-28 11:11:17.187987,2.73696,2.737,50
1,2004-02-28 11:12:48.609997,2.74963,2.7375,50
1,2004-02-28 11:13:47.623607,2.74963,2.7377,51
1,2004-02-28 11:15:48.239674,2.73696,2.7377,51
1,2004-02-28 11:16:18.546304,2.74963,2.7379,52
1,2004-02-28 11:16:47.427118,2.74963,2.7384,52
1,2004-02-28 11:17:17.648180,2.74963,2.7386,53
1,2004-02-28 11:17:47.129150,2.74963,2.7388,54
1,2004-02-28 11:18:48.360431,2.73696,2.7391,53
1,2004-02-28 11:19:17.252328,2.73696,2.7391,54
1,2004-02-28 11:22:48.393529,2.73696,2.7393,54
1,2004-02-28 11:24:17.225243,2.74963,2.7396,53
1,2004-02-28 11:25:17.404562,2.73696,2.7396,52
1,2004-02-28 11:27:16.884757,2.73696,2.7398,50
