window_start,score,quiet,standout,max_abs_z,top_tags,z_XMEAS_1_A_feed,z_XMEAS_2_D_feed,z_XMEAS_3_E_feed,z_XMEAS_4_total_feed,z_XMEAS_5_recycle_flow,z_XMEAS_6_reactor_feed_rate,z_XMEAS_7_reactor_pressure,z_XMEAS_8_reactor_level,z_XMEAS_9_reactor_temperature,z_XMEAS_10_purge_rate,z_XMEAS_11_separator_temperature,z_XMEAS_12_separator_level,z_XMEAS_13_separator_pressure,z_XMEAS_14_separator_underflow,z_XMEAS_15_stripper_level,z_XMEAS_16_stripper_pressure,z_XMEAS_17_stripper_underflow,z_XMEAS_18_stripper_temperature,z_XMEAS_19_stripper_steam_flow,z_XMEAS_20_compressor_work,z_XMEAS_21_reactor_cw_outlet,z_XMEAS_22_condenser_cw_outlet,z_XMV_1_D_feed_flow,z_XMV_2_E_feed_flow,z_XMV_3_A_feed_flow,z_XMV_4_total_feed_flow,z_XMV_5_compressor_recycle,z_XMV_6_purge_valve,z_XMV_7_separator_underflow,z_XMV_8_stripper_underflow,z_XMV_9_stripper_steam,z_XMV_10_reactor_cw_flow,z_XMV_11_condenser_cw_flow
2029-07-20 08:00:00+00:00,0.7391,True,False,1.775,XMEAS_3_E_feed -1.8; XMV_2_E_feed_flow -1.7; XMEAS_12_separator_level -1.5,0.793,0.814,-1.775,-0.186,0.239,-0.13,-1.306,0.236,1.329,0.341,1.304,-1.519,-1.329,1.044,0.563,-1.088,-0.187,-0.211,-0.62,-1.285,0.233,0.345,0.797,-1.67,0.771,-0.378,-1.218,0.771,-0.248,-0.291,-0.518,0.451,0.398
2029-07-20 08:30:00+00:00,1.2404,False,False,5.873,XMV_10_reactor_cw_flow -5.9; XMEAS_9_reactor_temperature -5.0; XMEAS_2_D_feed -2.8,0.26,-2.765,-1.378,0.88,-0.372,0.823,-0.622,-0.542,-4.99,1.328,1.059,0.775,-0.598,0.642,1.026,-0.647,2.483,0.102,-0.112,-0.287,1.067,1.273,-2.472,-1.131,0.258,-0.267,-0.237,1.444,-1.069,-1.412,-0.044,-5.873,-2.695
2029-07-20 09:00:00+00:00,1.1339,False,False,7.855,XMV_10_reactor_cw_flow +7.9; XMEAS_9_reactor_temperature +6.3; XMEAS_8_reactor_level -2.3,-0.059,0.94,-0.147,1.307,-0.007,1.188,0.788,-2.283,6.304,0.722,-0.437,-0.316,0.874,-0.671,0.006,0.676,-1.22,-0.002,0.194,1.187,-1.996,1.875,1.223,-0.158,-0.081,1.002,0.898,0.507,0.788,-0.445,0.179,7.855,1.085
2029-07-20 09:30:00+00:00,1.1239,False,False,4.98,XMV_10_reactor_cw_flow -5.0; XMEAS_9_reactor_temperature -5.0; XMEAS_14_separator_underflow -2.0,-1.606,0.294,1.393,1.203,-0.114,1.23,1.004,0.216,-4.962,-1.027,-0.941,-1.412,1.064,-1.976,-0.334,0.774,-0.665,-0.016,0.163,1.317,-0.515,-0.555,0.232,1.203,-1.601,0.426,1.256,-1.503,0.278,1.753,0.117,-4.98,0.959
2029-07-20 10:00:00+00:00,0.9648,False,False,4.106,XMV_10_reactor_cw_flow +4.1; XMEAS_9_reactor_temperature +3.4; XMV_1_D_feed_flow +2.0,-1.11,1.339,1.546,-1.456,0.008,0.388,0.634,1.011,3.395,-0.992,-0.66,-0.931,0.685,-0.453,-0.769,0.699,-0.31,-0.369,-0.337,0.307,-1.413,-0.094,2.007,1.399,-1.106,0.097,0.51,-0.92,1.484,0.264,-0.423,4.106,-0.612
2029-07-20 10:30:00+00:00,0.9406,True,False,2.54,XMEAS_17_stripper_underflow -2.5; XMEAS_21_reactor_cw_outlet +2.2; XMV_11_condenser_cw_flow +2.1,-0.465,-0.885,0.781,-1.058,-0.675,-1.97,-0.562,2.118,-0.174,0.944,0.62,-0.043,-0.576,-0.352,0.037,-0.353,-2.54,-0.751,-1.077,-1.13,2.212,0.017,-1.3,0.807,-0.474,0.445,-0.888,1.001,1.026,-0.578,-1.096,-1.957,2.128
2029-07-20 11:00:00+00:00,0.8786,True,False,2.169,XMEAS_14_separator_underflow +2.2; XMEAS_9_reactor_temperature +1.8; XMEAS_12_separator_level -1.5,0.447,-0.004,-0.93,-0.182,1.304,-0.624,-0.657,0.88,1.792,0.663,0.933,-1.515,-0.686,2.169,0.068,-0.271,0.638,-1.214,-1.482,-1.352,1.138,1.084,0.208,-1.513,0.411,0.511,-1.197,1.121,-0.526,-0.957,-1.403,-1.043,-0.071
2029-07-20 11:30:00+00:00,0.7066,True,False,1.835,XMEAS_2_D_feed +1.8; XMEAS_6_reactor_feed_rate -1.7; XMEAS_14_separator_underflow -1.5,0.355,1.835,-1.493,-0.545,0.058,-1.726,-0.967,-0.564,0.19,0.127,1.107,1.386,-0.99,-1.53,1.121,-0.628,0.368,-0.49,-0.544,-1.411,-0.077,0.419,0.328,-1.027,0.346,0.37,-1.404,0.426,0.318,-0.36,-0.504,0.286,0.016
2029-07-20 12:00:00+00:00,0.5899,True,False,2.194,XMV_7_separator_underflow -2.2; XMV_1_D_feed_flow +1.5; XMEAS_14_separator_underflow -1.0,0.711,0.869,-0.442,0.107,-0.667,-0.739,-0.52,-0.265,0.966,-0.719,0.491,0.677,-0.5,-0.988,0.203,-0.308,0.318,0.243,0.214,-0.707,-0.616,0.544,1.507,-0.614,0.724,0.103,-0.655,-0.49,-2.194,-0.369,0.228,0.203,-0.569
2029-07-20 12:30:00+00:00,0.5677,True,False,1.784,XMV_1_D_feed_flow -1.8; XMV_7_separator_underflow +1.4; XMEAS_22_condenser_cw_outlet +1.3,1.192,-0.905,-0.403,-0.016,0.08,0.353,-0.196,-0.397,-1.218,0.607,0.843,0.746,-0.162,0.482,-0.019,-0.094,-0.771,0.772,0.537,-0.125,-0.425,1.284,-1.784,-0.073,1.219,0.344,-0.19,0.562,1.355,-0.183,0.618,-0.206,0.573
2029-07-20 13:00:00+00:00,0.5157,True,False,1.413,XMV_4_total_feed_flow +1.4; XMEAS_22_condenser_cw_outlet +1.0; XMV_11_condenser_cw_flow -0.9,0.427,-0.71,-0.367,0.304,0.448,0.509,0.17,-0.311,0.783,-0.218,-0.213,-0.222,0.24,0.696,0.392,0.018,0.766,0.673,0.734,0.722,-0.798,0.951,0.147,-0.806,0.436,1.413,0.665,-0.298,-0.251,-0.154,0.679,0.582,-0.915
2029-07-20 13:30:00+00:00,0.6181,True,False,1.782,XMV_10_reactor_cw_flow +1.8; XMEAS_2_D_feed +1.3; XMEAS_5_recycle_flow -1.2,-0.814,1.276,0.606,-0.406,-1.236,0.82,0.237,-0.025,-0.193,-0.844,0.07,0.694,0.301,0.441,-0.709,0.012,-0.783,0.651,0.573,0.851,-1.148,0.123,1.21,-0.088,-0.818,-0.196,0.723,-0.891,-1.199,0.066,0.556,1.782,0.056
2029-07-20 14:00:00+00:00,0.5693,True,False,1.877,XMV_4_total_feed_flow +1.9; XMEAS_17_stripper_underflow +1.5; XMV_6_purge_valve -1.5,0.174,-0.938,0.166,-0.924,-0.523,-0.138,-0.227,0.843,-0.064,-1.402,-0.033,0.703,-0.189,0.159,-0.67,-0.389,1.465,0.325,0.069,0.3,0.322,-0.252,-0.969,0.907,0.129,1.877,0.2,-1.464,-0.672,-0.795,0.047,-0.16,-1.292
2029-07-20 14:30:00+00:00,0.5934,True,False,1.515,XMEAS_15_stripper_level -1.5; XMV_4_total_feed_flow -1.5; XMV_8_stripper_underflow +1.4,0.189,-0.167,-0.227,0.029,-0.321,-1.292,-0.357,0.627,-0.844,-0.723,-0.089,0.859,-0.299,0.141,-1.515,-0.566,0.997,-0.392,-0.65,0.281,-0.068,-0.835,0.956,0.181,0.204,-1.48,0.199,-0.722,-0.868,1.413,-0.593,-0.319,-1.176
2029-07-20 15:00:00+00:00,0.818,True,False,2.271,XMEAS_6_reactor_feed_rate -2.3; XMEAS_14_separator_underflow -2.0; XMEAS_4_total_feed -1.4,-0.856,1.031,0.656,-1.395,-1.082,-2.271,-1.1,0.731,-0.319,-0.104,0.95,0.723,-1.036,-2.047,0.622,-1.163,1.226,-0.526,-0.911,-0.426,0.316,-0.164,1.134,1.131,-0.879,0.022,-0.496,-0.209,1.109,0.413,-0.931,-0.258,-0.757
2029-07-20 15:30:00+00:00,0.8175,True,False,2.215,XMV_11_condenser_cw_flow +2.2; XMEAS_11_separator_temperature +1.8; XMV_4_total_feed_flow -1.5,0.806,-0.192,0.593,-0.162,-1.032,0.875,-1.399,0.344,0.332,0.009,1.812,-0.253,-1.376,0.69,0.642,-1.259,-1.347,-0.257,-0.875,-1.187,0.647,0.415,-0.844,0.118,0.818,-1.502,-1.115,0.436,0.951,1.492,-0.683,-0.297,2.215
2029-07-20 16:00:00+00:00,1.0482,False,False,3.813,XMV_8_stripper_underflow +3.8; XMEAS_17_stripper_underflow -3.6; XMV_11_condenser_cw_flow +3.3,0.087,-1.58,-0.911,-0.036,-1.779,-0.226,-1.184,-0.26,-0.302,0.02,1.152,1.688,-1.151,-0.689,-0.616,-1.227,-3.58,-0.062,-0.316,-0.677,1.799,-0.478,-2.344,-0.373,0.132,1.835,-0.611,0.023,0.598,3.813,-0.265,-1.457,3.318
2029-07-20 16:30:00+00:00,0.6805,True,False,1.834,XMEAS_14_separator_underflow +1.8; XMEAS_5_recycle_flow -1.5; XMV_8_stripper_underflow -1.3,0.884,-1.011,-0.86,0.725,-1.479,1.256,-0.354,-0.444,-0.324,-0.938,0.579,-0.708,-0.277,1.834,-0.809,-0.465,0.418,0.412,0.357,0.258,-0.434,0.592,-0.668,-0.84,0.826,0.211,0.239,-1.045,0.795,-1.322,0.421,0.187,-0.487
2029-07-20 17:00:00+00:00,0.7539,True,False,1.741,XMEAS_4_total_feed +1.7; XMEAS_15_stripper_level +1.7; XMEAS_12_separator_level -1.6,-0.734,1.07,0.433,1.741,0.907,0.824,0.313,-0.832,0.349,-0.4,-0.294,-1.635,0.368,-0.925,1.701,0.088,-0.353,0.584,0.665,1.179,-1.297,0.734,1.032,-0.783,-0.712,-0.713,0.852,-0.565,0.167,0.482,0.678,1.055,-0.413
2029-07-20 17:30:00+00:00,0.7987,True,False,2.194,XMV_11_condenser_cw_flow +2.2; XMV_7_separator_underflow +2.1; XMEAS_17_stripper_underflow -1.9,-1.333,-0.378,0.705,1.114,-0.557,0.145,0.674,0.215,0.139,-0.496,-0.832,0.607,0.758,0.776,-0.678,0.334,-1.869,0.13,0.131,1.347,-0.661,-0.45,1.245,0.328,-1.367,0.311,1.309,-0.752,2.112,1.548,0.137,0.726,2.194
2029-07-20 18:00:00+00:00,0.7699,True,False,1.532,XMEAS_12_separator_level -1.5; XMV_4_total_feed_flow +1.4; XMV_3_A_feed_flow -1.4,-1.435,0.32,1.346,0.283,1.162,-0.492,1.013,-0.308,0.437,-0.858,-0.66,-1.532,1.068,-0.838,0.177,0.912,-0.988,-0.618,-0.532,0.845,-0.214,-0.052,-0.767,0.72,-1.443,1.448,0.968,-1.135,-0.448,-0.059,-0.576,0.641,1.111
2029-07-20 18:30:00+00:00,0.8491,True,False,1.991,XMEAS_5_recycle_flow +2.0; XMEAS_2_D_feed +1.9; XMV_6_purge_valve -1.9,-0.697,1.912,0.688,-0.325,1.991,0.196,0.481,1.134,-0.654,-1.789,-0.75,1.818,0.51,-0.495,0.597,0.487,0.713,-1.205,-1.14,0.217,-0.622,-1.381,1.157,0.505,-0.698,-0.291,0.41,-1.865,0.348,-0.618,-1.17,0.442,-0.716
2029-07-20 19:00:00+00:00,0.7905,True,False,2.004,XMEAS_17_stripper_underflow -2.0; XMEAS_21_reactor_cw_outlet +1.9; XMV_11_condenser_cw_flow +1.9,-0.263,-1.501,-0.093,-0.879,0.904,-0.826,0.149,0.382,0.061,-1.081,0.106,0.401,0.149,-0.267,0.604,0.24,-2.004,-1.572,-1.643,-0.544,1.902,-0.257,-1.002,0.474,-0.218,-0.219,-0.203,-0.784,-0.675,1.48,-1.619,-1.717,1.866
2029-07-20 19:30:00+00:00,0.7433,True,False,1.973,XMEAS_5_recycle_flow +2.0; XMV_9_stripper_steam -1.6; XMEAS_18_stripper_temperature -1.6,0.296,-0.697,-0.744,-0.666,1.973,0.737,-0.31,0.028,-0.512,-0.4,0.092,-0.6,-0.306,-0.586,1.37,-0.079,0.535,-1.57,-1.55,-0.915,1.568,-0.517,-1.431,-0.532,0.277,-1.023,-0.868,-0.346,0.298,-0.357,-1.572,-1.512,-0.262
2029-07-20 20:00:00+00:00,0.5572,True,False,2.105,XMEAS_9_reactor_temperature +2.1; XMEAS_18_stripper_temperature -1.2; XMV_10_reactor_cw_flow +1.1,0.093,0.363,0.177,0.26,-0.18,0.996,0.303,-0.54,2.105,0.309,0.455,0.532,0.287,0.633,-0.321,0.564,-0.635,-1.159,-0.948,-0.522,-0.197,0.722,-0.232,0.693,0.101,-0.885,-0.334,0.443,-0.666,-0.353,-0.985,1.125,0.269
2029-07-20 20:30:00+00:00,0.8238,True,False,2.141,XMEAS_17_stripper_underflow +2.1; XMV_8_stripper_underflow +2.0; XMV_1_D_feed_flow -1.9,0.417,-1.669,-0.721,1.095,-1.612,-1.085,0.369,-0.875,-1.773,0.024,-0.658,0.855,0.402,0.437,0.991,0.392,2.141,-0.63,-0.237,0.096,1.206,-0.656,-1.912,-0.67,0.43,1.199,0.293,0.236,-0.5,2.038,-0.287,-0.304,-0.974
2029-07-20 21:00:00+00:00,0.9294,True,False,2.256,XMEAS_9_reactor_temperature +2.3; XMEAS_15_stripper_level -2.0; XMV_4_total_feed_flow +1.9,-1.194,0.768,-0.274,1.37,-1.355,0.037,1.131,-1.418,2.256,-0.791,-0.967,-1.637,1.171,-1.729,-1.985,1.194,0.894,-0.334,0.24,0.662,-0.852,-0.295,1.152,-0.277,-1.184,1.928,0.789,-0.92,-0.244,-1.244,0.076,0.264,0.035
2029-07-20 21:30:00+00:00,0.8047,True,False,1.78,XMEAS_16_stripper_pressure +1.8; XMEAS_7_reactor_pressure +1.7; XMEAS_13_separator_pressure +1.7,-1.385,-1.218,0.77,1.336,0.965,-0.661,1.693,-0.871,-0.273,-0.776,-1.128,-1.525,1.689,0.148,1.183,1.78,0.478,-0.109,0.402,0.635,-0.242,0.183,-0.226,1.091,-1.419,0.39,0.917,-0.687,0.045,0.969,0.346,0.461,-0.552
2029-07-20 22:00:00+00:00,0.8187,True,False,1.908,XMEAS_12_separator_level +1.9; XMEAS_16_stripper_pressure +1.9; XMV_8_stripper_underflow -1.8,-0.352,-0.143,0.83,0.378,1.038,0.556,1.683,0.362,-1.421,-0.11,-1.623,1.908,1.652,-1.357,-0.868,1.883,-0.984,-0.123,0.489,0.287,0.067,-1.579,-0.428,0.633,-0.294,-0.192,0.616,-0.304,-0.668,-1.824,0.32,-0.628,1.417
2029-07-20 22:30:00+00:00,0.7568,True,False,1.848,XMV_4_total_feed_flow -1.8; XMEAS_16_stripper_pressure +1.5; XMEAS_10_purge_rate -1.4,-0.315,1.093,0.492,-0.606,-0.555,1.176,1.268,1.288,0.056,-1.45,-1.408,-0.322,1.299,1.207,0.765,1.51,1.133,-0.163,0.366,-0.08,0.195,-0.628,-0.007,0.893,-0.348,-1.848,0.453,-1.297,-0.704,0.054,0.25,0.339,-1.404
2029-07-20 23:00:00+00:00,0.8047,True,False,2.587,XMEAS_15_stripper_level -2.6; XMEAS_14_separator_underflow -1.7; XMEAS_16_stripper_pressure +1.5,0.789,-1.33,0.163,-1.229,-0.419,-0.99,1.256,1.024,0.745,-0.943,-1.291,-0.701,1.236,-1.718,-2.587,1.486,0.526,-0.057,0.385,-0.155,0.914,-1.013,-0.851,-0.133,0.759,-0.166,0.264,-0.837,-0.021,-0.654,0.307,-0.869,-0.737
2029-07-20 23:30:00+00:00,0.7216,True,False,1.699,XMEAS_3_E_feed +1.7; XMV_2_E_feed_flow +1.6; XMEAS_14_separator_underflow +1.6,0.677,-0.297,1.699,-1.544,-0.035,-1.429,0.843,0.773,-0.117,-0.185,-0.925,0.294,0.857,1.554,-0.264,1.063,0.778,0.157,0.612,-0.147,0.615,-1.276,-0.679,1.605,0.641,-1.16,0.169,-0.11,1.231,-0.126,0.5,0.231,-1.221
2029-07-21 00:00:00+00:00,0.8401,True,False,2.371,XMEAS_22_condenser_cw_outlet -2.4; XMEAS_4_total_feed -2.1; XMEAS_2_D_feed +1.6,1.068,1.55,0.509,-2.075,1.107,-0.265,-0.693,1.059,-0.705,0.648,-0.002,0.051,-0.71,0.367,1.246,-0.474,-0.181,0.841,0.838,-1.115,0.396,-2.371,1.494,0.185,1.07,-1.422,-0.857,0.869,0.035,1.302,0.865,-0.891,0.462
2029-07-21 00:30:00+00:00,0.9573,True,False,2.248,XMV_3_A_feed_flow +2.2; XMEAS_4_total_feed -2.2; XMEAS_1_A_feed +2.2,2.198,-0.325,-0.316,-2.227,-0.164,-0.215,-1.543,0.557,-0.897,0.965,0.757,-0.03,-1.51,-0.492,-1.161,-1.45,-0.082,1.177,1.001,-1.167,1.012,-1.111,-0.45,-0.568,2.248,-0.37,-1.192,1.327,0.551,1.212,1.015,-1.667,0.631
2029-07-21 01:00:00+00:00,1.1843,True,False,2.294,XMEAS_3_E_feed -2.3; XMEAS_10_purge_rate +2.3; XMEAS_16_stripper_pressure -2.2,1.967,-0.968,-2.294,-1.054,0.341,0.182,-2.055,-1.192,1.19,2.26,1.527,-0.905,-2.007,0.055,-0.963,-2.234,0.157,1.768,1.298,-0.769,0.812,1.184,-0.041,-1.261,1.931,-1.341,-1.048,2.094,-1.078,0.563,1.492,-0.674,-0.379
2029-07-21 01:30:00+00:00,0.9674,True,False,2.169,XMEAS_18_stripper_temperature +2.2; XMEAS_8_reactor_level -2.0; XMV_9_stripper_steam +1.8,0.733,0.516,-1.536,0.46,0.173,0.226,-1.349,-1.961,0.651,0.92,1.285,-0.881,-1.247,-0.023,0.668,-1.7,-0.93,2.169,1.682,0.628,-1.28,1.168,1.053,-1.836,0.705,0.004,0.105,0.77,-1.703,0.439,1.841,0.55,0.731
2029-07-21 02:00:00+00:00,1.103,True,False,2.436,XMEAS_22_condenser_cw_outlet +2.4; XMEAS_18_stripper_temperature +1.9; XMV_8_stripper_underflow -1.9,-0.706,1.159,-1.026,1.006,1.429,-0.125,-0.696,-1.573,-0.684,1.866,0.795,1.282,-0.61,0.544,0.35,-1.201,-0.409,1.924,1.577,1.361,-1.567,2.436,1.3,0.066,-0.65,1.26,0.706,1.714,0.564,-1.886,1.675,1.207,-1.045
2029-07-21 02:30:00+00:00,0.9156,True,False,2.477,XMV_3_A_feed_flow -2.5; XMEAS_1_A_feed -2.5; XMEAS_6_reactor_feed_rate +1.7,-2.458,0.396,0.763,1.204,0.116,1.732,-0.129,-1.008,-1.123,0.86,0.311,0.848,-0.148,-0.273,0.631,-0.504,-0.816,1.117,0.642,1.168,-1.327,1.631,0.407,1.188,-2.477,1.624,0.701,0.43,-0.886,0.696,0.668,1.506,0.427
2029-07-21 03:00:00+00:00,0.9073,False,False,3.09,XMV_3_A_feed_flow -3.1; XMEAS_1_A_feed -3.1; XMEAS_15_stripper_level -2.6,-3.06,0.43,0.358,0.873,0.975,-0.152,0.355,0.366,-0.32,1.388,0.129,-1.281,-0.123,1.398,-2.601,0.304,-1.605,-0.59,-0.943,0.061,-0.526,0.499,1.188,0.753,-3.09,-0.21,-0.672,1.327,-0.732,-1.47,-0.998,0.002,1.162
2029-07-21 03:30:00+00:00,1.017,True,False,2.393,XMV_5_compressor_recycle -2.4; XMEAS_18_stripper_temperature -2.3; XMV_9_stripper_steam -2.3,-1.18,-0.758,1.047,1.12,-1.848,-0.426,0.838,0.515,-0.399,0.539,-0.687,1.145,-0.424,0.852,-1.252,1.071,-0.405,-2.309,-2.224,-1.199,1.003,0.052,-0.94,0.597,-1.192,-0.287,-2.393,0.515,-1.861,1.023,-2.291,-0.302,0.865
2029-07-21 04:00:00+00:00,1.2727,False,False,4.725,XMV_5_compressor_recycle -4.7; XMEAS_18_stripper_temperature -3.2; XMV_8_stripper_underflow +3.0,0.043,0.783,0.727,-0.76,-0.839,-0.661,0.867,1.304,-1.157,-0.805,-1.674,1.048,-1.509,-0.318,0.221,1.106,1.049,-3.151,-2.612,-2.572,-0.554,-2.825,1.383,0.78,0.022,1.454,-4.725,-0.657,0.571,2.968,-2.717,-0.064,0.072
2029-07-21 04:30:00+00:00,1.6609,False,True,8.568,XMV_5_compressor_recycle -8.6; XMEAS_20_compressor_work -5.6; XMEAS_13_separator_pressure -3.7,-0.233,0.105,1.29,-1.937,-0.092,0.387,0.398,1.726,0.064,0.82,-1.752,-1.983,-3.716,-1.778,-0.49,0.598,-0.662,-3.343,-2.855,-5.644,1.848,-3.562,0.02,1.385,-0.228,-1.94,-8.568,1.109,0.115,0.234,-2.877,-1.796,1.256
2029-07-21 05:00:00+00:00,1.5986,False,True,7.893,XMV_5_compressor_recycle -7.9; XMEAS_20_compressor_work -6.5; XMEAS_13_separator_pressure -4.5,0.413,0.993,-0.556,-1.828,1.315,-0.127,-1.394,0.89,0.437,0.878,-0.112,-1.103,-4.487,0.225,0.345,-0.993,0.299,-3.007,-2.723,-6.525,3.035,-1.489,1.121,-1.04,0.409,0.144,-7.893,1.476,0.215,-0.579,-2.702,-3.633,0.364
2029-07-21 05:30:00+00:00,1.1686,True,False,2.323,XMV_10_reactor_cw_flow -2.3; XMEAS_20_compressor_work -2.3; XMV_2_E_feed_flow -2.2,0.566,-0.265,-1.696,-0.211,1.891,1.45,-1.86,-0.488,-0.793,-0.439,1.688,-0.482,-1.888,0.06,1.241,-1.418,1.206,-1.627,-2.039,-2.254,1.197,-0.139,0.692,-2.206,0.534,-1.383,-2.158,0.07,0.442,-0.768,-1.884,-2.323,-1.207
